plataforma,operacion,archivos,repeticiones,ms_media,ms_desv,ms_por_archivo
"Windows","crear",100,5,83.9152,6.44549,0.839152
"Windows","listar",100,5,0.4186,0.368492,0.004186
"Windows","metadatos",100,5,14.2998,0.643711,0.142998
"Windows","eliminar",100,5,25.07,1.52037,0.2507
