plataforma,operacion,archivos,repeticiones,ms_media,ms_desv,ms_por_archivo
"Windows","crear",1000,5,884.995,73.5781,0.884995
"Windows","listar",1000,5,1.5617,0.37983,0.0015617
"Windows","metadatos",1000,5,244.946,95.3289,0.244946
"Windows","eliminar",1000,5,230.768,24.4886,0.230768
