plataforma,operacion,archivos,repeticiones,ms_media,ms_desv,ms_por_archivo
"Windows","crear",100,5,162.824,5.47746,1.62824
"Windows","listar",100,5,0.67794,0.574321,0.0067794
"Windows","metadatos",100,5,28.7905,4.27003,0.287905
"Windows","eliminar",100,5,51.0363,9.49244,0.510363
